Department,PIC,Description of Action,Date Raised,Target / Due Date,Date Completed,Status,Priority,Comments
Service,Errol,Try the other Ford laptop for diagnostic issues and provide feedback on findings,15-May-26,TBD,,In Progress,High,Awaiting testing results
Service,Clement,Discuss with Mr. DeLa about cost and potential purchase of new Ford diagnostic tool,15-May-26,TBD,,Pending,High,Budget review required
Service,Clement,Monitor TY's ability to handle washdown tasks and look for potential new hire if needed,15-May-26,Ongoing,,In Progress,Medium,Performance observation ongoing
,,,,,,,,
Service / Admin,Clem / Abe/ Dante,Track loaner vehicles via Google Sheet and share with relevant team members,18th March 2026,Ongoing,,,Medium,Include request/inspection sections
Service / Admin,Sasha,Print and distribute shuttle/van usage memo; post to Bamboo; ensure managers review with teams and get sign-off,18th March 2026,ASAP,,,Medium,All staff to be informed and acknowledge
Service,West,Ensure all technicians are fully versed on system/process shown by Lee and Nicholas; confirm understanding with management team,18th March 2026,Friday 20th,,,High,"Includes garage manager, service manager, financial controller"
Service,Nicholas,Conduct one-on-one on-the-job training walkthroughs with all service advisors/technicians,18th March 2026,Friday 20th,,,High,Focus on correct system usage
Service,"Mr. West, Shaquila, Nicholas, Sasha",Verify correct system usage with each technician; document findings and share results,18th March 2026,After Friday 20th,,,High,Sasha to document and share (possibly with Lami)
Service / Admin,Richard,Provide Alesha's list of available company phone numbers so Andrew can receive a dedicated company phone line.by 19th,13th March 2026,,,Pending,,
Service,Sasha,Ensure Shaquille & Nicholas (possibly Blair) train technicians on correct CDK parts request process; document in technician manual,27-Feb-26,,,Pending,High,Standardize process
Service,Sasha,Log all training & procedures from CDK specialist visit (include screenshots) in service advisor & technician manuals,27-Feb-26,,,Pending,High,Documentation compliance
Service,Sasha,Provide update on tablet usage rate for service drive write-ups (80–90% target),27-Feb-26,Next Friday,,Pending,Medium,Usage monitoring
Service,Sasha,Ensure Iandre arranges group Takata recall visits; coordinate with Mr. West,27-Feb-26,Monthly (min. 5),,Ongoing,High,Recall KPI
Service,Sasha,"Compile & send KPI initiative photos (Takata, retention, etc.) to Toyota Enrique",27-Feb-26,2-Mar,,Pending,High,Manufacturer reporting
Service,Sasha / Clem,Improve Ford recall & campaign completion rate (currently 23%); coordinate with Simone,27-Feb-26,,,Ongoing,High,Performance target increase
Service / Training,Clem,"After Dante completes Ford training, introduce him to Mark & BYD platform for next phase",27-Feb-26,Next week,,Pending,Medium,Training progression
,,,,,,,,
Service,Clem,"Share updated communication contacts (Dante, Nicholas) with BYD distributor (Mark)",19 Feb. 2026,After Dante training progresses,,Pending,Medium,
Service,Clem Sasha,Add investigation of Errie’s service advisor number issue in CDK to visit agenda,19 Feb. 2026,Monday (CDK visit),,Open,High,
Service,Charlene / Sasha,Update on CDK rep coming to address all parts service garage issues /train service staff  get feedback on Sasha and Charlene list,19 Feb. 2026,,,,,
Service,Clem / Sasha / Iandre,Get updates on  Iandre second chance - the Management / productivity of ,19 Feb. 2026,,,,,
,,,,,,,,
Service,Charlene,Train Kimoi and Aiden on oil dispensing from large drums,13 Feb.2026,,,Pending,Medium,
Service,Richard / Glen,Install purchased materials to address water ingress at garage,13 Feb.2026,,,In Progress,High,
Service,Service TeamSasha / Clem,Implement new RO closing competition regularly with KPIs and NPS metrics,13 Feb.2026,,,In Progress,High,Ongoing initiative
Service,Clem - Service Team,Ensure no grey markey EV new or used maintained with us,13 Feb.2026,,13 Feb.2026,In Progress,High,
Service,Clem / Sasha / Errie,Andrew company van and Tony vip service set with structure,13 Feb.2026,,,,,
Service / IT,Richard,Observe and troubleshoot tablet/CDK issues with Paulus and Ronaldo to identify if issue is CDK or internet,6th Feb. 2026,Monday 7:30–8:00am,,Not Started,High,Findings to be reported
Service / IT,Richard,Arrange installation of more cameras in garage area as per Errie continuous requests.,6th Feb. 2026,,,Q2,High,
Service / IT,Richard,Test that all camers are working get Clem more efficient way to review.,6th Feb. 2026,,,Not Started,High,
Service,Clement / Sasha / Ronaldo,Provide updated list of all vehicles in service yard waiting for parts (incl. parts required) to Cymone and Errie,6th Feb. 2026,Next week,by Monday 23rd,In Progress,High,Needed for visibility
Service,Clement,Confirm who will be BYD contacts Dante-Nicolas-Clem tell BYD eventually when he can train,6th Feb. 2026,Next week,,In Progress,High,
Service,Clement,Install secure key box on lower service counter wall,6th Feb. 2026,ASAP,16-Feb-26,Not Started,Low,Customer security
Service,Clement,Install 50-inch TV to promote services and products / ensure content is created to be displayed,6th Feb. 2026,ASAP,17-Feb-26,Not Started,Low,Customer engagement
